2023年3月20日17点56分39秒	1-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=656049028857
2023年3月20日17点58分16秒	27-九州福磁疗艾灸贴官网九洲福本草玲珑灸贴发热贴正品肩颈腰椎-tmall.com天猫https://item.taobao.com/item.htm?id=688119979842
2023年3月20日17点58分19秒	28-[祖医堂]腰椎穴位磁疗贴 专腰椎间盘 养护腰椎辅助治疗-tmall.com天猫https://item.taobao.com/item.htm?id=684996753065
2023年3月20日17点58分22秒	29-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=687955282215
2023年3月20日17点58分25秒	30-验证码拦截https://item.taobao.com/item.htm?id=686109937619
2023年3月20日17点58分32秒	31-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=687937386973
2023年3月20日17点58分35秒	32-包邮】贵州苗药腰椎康复贴6贴 腰椎间盘突出腰肌劳损腰部疼痛cq-tmall.com天猫https://item.taobao.com/item.htm?id=685074634147
2023年3月20日17点58分38秒	33-灸热帖 腰痛贴自发热炙热贴 腰肌劳损腰椎间盘病变疼痛贴YH-tmall.com天猫https://item.taobao.com/item.htm?id=685374407362
2023年3月20日17点58分42秒	34-艾草发热贴艾灸贴膝盖热敷膝关节保暖颈椎贴腰椎艾叶温灸暖膝正品-tmall.com天猫https://item.taobao.com/item.htm?id=687708957297
2023年3月20日17点58分45秒	35-腰椎贴膏部位型腰间腰椎贴间盘突出非专用药膏压迫神和筋治和疗器-tmall.com天猫https://item.taobao.com/item.htm?id=687953467196
2023年3月20日17点58分48秒	36-仁和艾草颈椎贴膝盖贴艾灸热敷贴艾草肩周腰椎关节贴旗舰店正品-tmall.com天猫https://item.taobao.com/item.htm?id=688284435736
2023年3月20日17点58分52秒	37-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=684705112367
2023年3月20日17点58分55秒	38-日本骨质增生专用膏贴膝盖骨刺关节疼颈椎腰椎手腕足跟疼僵硬理疗-tmall.com天猫https://item.taobao.com/item.htm?id=684470005343
2023年3月20日17点58分58秒	39-骨质增生专用膏药贴膝盖骨刺护膝关节疼痛腰椎颈椎脚后跟痛热敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=684530049785
2023年3月20日17点59分1秒	40-金和贴腰椎间盘突出肩周炎颈椎病腰肌劳损富贵包红外磁疗贴理疗贴-tmall.com天猫https://item.taobao.com/item.htm?id=623733191457
2023年3月20日17点59分5秒	41-超亚艾草贴颈椎贴腰椎膝盖疼痛专用艾灸热敷帖关节温灸艾叶护膝帖-tmall.com天猫https://item.taobao.com/item.htm?id=680856920072
2023年3月20日17点59分8秒	42-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=669566954100
2023年3月20日17点59分11秒	43-舒筋健腰贴腰椎膏贴颈椎肩周炎骨质增生腿腰痛国药公药贴药店同款-tmall.com天猫https://item.taobao.com/item.htm?id=614439297865
2023年3月20日17点59分15秒	44-北京同仁堂坐骨神经医用膏药贴腰椎间盘疼痛腿麻屁股疼臀中肌贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=672418964377
2023年3月20日17点59分18秒	45-艾草护膝贴-tmall.com天猫https://item.taobao.com/item.htm?id=628482215115
2023年3月20日17点59分22秒	46-宝元堂腰椎部位型冷敷凝胶喷雾腰背膝盖颈椎疼痛搽剂膏药贴正品mz-tmall.com天猫https://item.taobao.com/item.htm?id=674121718747
2023年3月20日17点59分25秒	47-验证码拦截https://item.taobao.com/item.htm?id=664921229036
2023年3月20日17点59分29秒	48-江山康裕黑老大膏贴正品远红外磁疗贴膏腰椎间盘黑老丈风湿关节痛-tmall.com天猫https://item.taobao.com/item.htm?id=606978667405
2023年3月20日17点59分32秒	49-香港LP艾奥比艾灸贴正品腰椎贴肩颈热敷膝盖贴暖贴足贴艾热热灸-tmall.com天猫https://item.taobao.com/item.htm?id=686050560332
2023年3月20日17点59分38秒	50-楚院士艾草生姜颈椎贴 颈椎脖子肩膀手肘贴-tmall.com天猫https://item.taobao.com/item.htm?id=618090846309
2023年3月20日17点59分45秒	51-御田医生腰椎骨宝冷敷凝胶 腰间盘贴损伤关节缓解疼痛炎腰疼膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=635215308884
2023年3月20日17点59分48秒	52-验证码拦截https://item.taobao.com/item.htm?id=681318725799
2023年3月20日17点59分52秒	53-正虎堂艾草腰椎贴官网正品腰痛腰间盘突舒缓器颈椎肩周膝盖旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=615957133106
2023年3月20日17点59分55秒	54-日本腰椎管疼痛专用膏药贴腰疼腿疼坐骨神经疼间歇性跛行护腰贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=675767128051
2023年3月20日18点0分1秒	55-时珍蕲艾灸贴官方旗舰店正品艾草自发热肩颈椎膝盖腰椎酸痛热敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=616444808989
2023年3月20日18点0分5秒	56-腰椎间盘突出酸痛药膏腰肌劳损腰间盘突出酸痛药腰痛疼贴膏腰椎贴-tmall.com天猫https://item.taobao.com/item.htm?id=568248244379
2023年3月20日18点0分11秒	57-验证码拦截https://item.taobao.com/item.htm?id=625019259190
2023年3月20日18点0分18秒	58-仓公古贴颈椎贴腰椎肩周关节老黑贴膏坐骨颈腿老黑膏冷敷贴旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=675313481111
2023年3月20日18点0分21秒	59-乔记本草椎间板盘疼痛膏贴老人腰疼贴膏腰椎滑脱医用理疗热敷膏药-tmall.com天猫https://item.taobao.com/item.htm?id=645919196633
2023年3月20日18点0分27秒	60-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=629645432304
2023年3月20日18点0分31秒	61-磁疗艾灸贴正品颈肩腰腿艾热贴艾叶艾草灸疗热贴官方旗舰店mf-tmall.com天猫https://item.taobao.com/item.htm?id=658761758222
2023年3月20日18点0分34秒	62-验证码拦截https://item.taobao.com/item.htm?id=593007297855
2023年3月20日18点0分41秒	63-熨通烫熨治疗贴磁热理疗关节炎颈椎病椎间盘突出腰肌劳损辅助治疗-tmall.com天猫https://item.taobao.com/item.htm?id=641683583959
2023年3月20日18点0分44秒	64-北京同仁堂青源堂艾草颈椎贴艾灸贴膝盖贴腰椎贴正品官方旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=656567272972
2023年3月20日18点0分47秒	65-陈李济舒筋健腰白云山贴膏药突出炎舒筋健腰贴榾金舒腰椎间盘肩周-tmall.com天猫https://item.taobao.com/item.htm?id=669659905017
2023年3月20日18点1分1秒	66-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=685574239055
2023年3月20日18点1分5秒	67-艾灸熏蒸仪家用电加热护肩调理艾草包宝热敷非腰椎盒肩颈椎艾炙贴-tmall.com天猫https://item.taobao.com/item.htm?id=659127011765
2023年3月20日18点1分8秒	68-去骨刺骨质增生贴膏专用膏药贴去颈椎腰椎膝盖足跟根-tmall.com天猫https://item.taobao.com/item.htm?id=618400788548
2023年3月20日18点1分11秒	69-腰椎贴腰间盘坐骨足跟痛肩周膝盖滑膜关节贴腱鞘腰痛腰疼颈椎贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=617234089782
2023年3月20日18点1分15秒	70-花红小黑膏升级远红外磁疗贴正品药业旗舰店官网腰椎肩颈椎红膏-tmall.com天猫https://item.taobao.com/item.htm?id=583313461569
2023年3月20日18点1分21秒	71-验证码拦截https://item.taobao.com/item.htm?id=674313539932
2023年3月20日18点1分24秒	72-祖医堂腰椎部位型冷敷凝胶腰间盘喷雾剂专辅助治疗用李时珍中医药-tmall.com天猫https://item.taobao.com/item.htm?id=639793782196
2023年3月20日18点1分28秒	73-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=669757718093
2023年3月20日18点1分34秒	74-G王泰林万痛筋骨贴颈椎腰椎关节肩周风湿刺骨腰肌劳损发热膏药贴S-tmall.com天猫https://item.taobao.com/item.htm?id=654115162490
2023年3月20日18点1分37秒	75-同仁堂艾草三七三伏贴肩贴颈腰椎膝盖颈椎热敷贴肩周腿关节贴443-tmall.com天猫https://item.taobao.com/item.htm?id=681868678683
2023年3月20日18点1分41秒	76-验证码拦截https://item.taobao.com/item.htm?id=666263847785
2023年3月20日18点1分44秒	77-楚医艾草贴膝盖贴艾灸贴颈椎腰椎膝关节热敷发热贴官方旗舰店正品-tmall.com天猫https://item.taobao.com/item.htm?id=677922725044
2023年3月20日18点1分48秒	78-腰间盘突出专用腰疼腰肌劳损膏药膏腰椎间盘腰痛克星疼痛贴膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=676522480207
2023年3月20日18点1分51秒	79-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=669719767893
2023年3月20日18点1分58秒	80-腰间盘突出腰痛腰疼专用贴腰椎间盘压迫神经神器治非特效贴膏克星-tmall.com天猫https://item.taobao.com/item.htm?id=679870224660
2023年3月20日18点2分1秒	81-腰椎间盘突出专用药膏贴腰肌劳损肩腰疼腰痛贴膏腰突压迫神经膏药-tmall.com天猫https://item.taobao.com/item.htm?id=624745278996
2023年3月20日18点2分5秒	82-三金止痛贴消炎镇痛肩周炎专用贴膏筋骨贴腰椎疼痛伤磁疗贴mq-tmall.com天猫https://item.taobao.com/item.htm?id=671671164721
2023年3月20日18点2分8秒	83-同普堂筋骨康冷敷凝胶颈椎贴关节膝盖疼痛肩周膏腰椎部位型炎1WX-tmall.com天猫https://item.taobao.com/item.htm?id=682586297678
2023年3月20日18点2分14秒	84-验证码拦截https://item.taobao.com/item.htm?id=684822527325
2023年3月20日18点2分18秒	85-健洛特腰椎穴位贴厂家直发舒缓腰突腰肌劳损胀痛外敷理疗腰椎-tmall.com天猫https://item.taobao.com/item.htm?id=684004158223
2023年3月20日18点2分22秒	86-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=684517166855
2023年3月20日18点2分28秒	87-腰间盘突出专用贴腰椎部位型非特效贴膏克星腰疼腰突腰椎间盘膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=674971562118
2023年3月20日18点2分32秒	88-吕家贴医用冷敷贴官网吕家帖肩周炎腰椎颈椎新吕家膏贴膏正品-tmall.com天猫https://item.taobao.com/item.htm?id=625375310194
2023年3月20日18点2分35秒	89-正虎堂腰椎贴颈椎病肩周炎骨性关节炎腰肌劳损膏贴膏旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=677123258799
2023年3月20日18点2分38秒	90-诺泰腰椎间盘突出用膏贴腰椎部位型膏腰疼痛腰肌劳损贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=649867564180
2023年3月20日18点2分42秒	91-验证码拦截https://item.taobao.com/item.htm?id=682728622422
2023年3月20日18点2分48秒	92-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=608885595531
2023年3月20日18点2分52秒	93-腰椎间盘突出贴膏可开专用进项票压迫腿疼痛骨质增生安庄古贴-tmall.com天猫https://item.taobao.com/item.htm?id=626706344893
2023年3月20日18点2分58秒	94-筋骨康医用冷敷凝胶颈椎病膏贴腰椎部位型专用肩周炎-tmall.com天猫https://item.taobao.com/item.htm?id=685339979942
2023年3月20日18点3分2秒	95-南京同仁堂腰肌劳损艾草贴腰椎贴腰椎间盘疼痛腰间疼痛酸胀贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=688323331881
2023年3月20日18点3分8秒	96-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=687823297166
2023年3月20日18点3分12秒	97-验证码拦截https://item.taobao.com/item.htm?id=684933114961
2023年3月20日18点3分15秒	98-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=688134570179
2023年3月20日18点3分19秒	99-骨王腰腿疼痛贴膝关节膝盖疼痛足跟痛肩周腰椎筋骨疼痛贴YH-tmall.com天猫https://item.taobao.com/item.htm?id=684178140787
2023年3月20日18点3分25秒	100-验证码拦截https://item.taobao.com/item.htm?id=653213711454
2023年3月20日18点3分28秒	101-验证码拦截https://item.taobao.com/item.htm?id=628994814123
2023年3月20日18点3分32秒	102-验证码拦截https://item.taobao.com/item.htm?id=678240783872
2023年3月20日18点3分35秒	103-验证码拦截https://item.taobao.com/item.htm?id=664980421442
2023年3月20日18点3分42秒	104-验证码拦截https://item.taobao.com/item.htm?id=658101470144
2023年3月20日18点3分45秒	105-验证码拦截https://item.taobao.com/item.htm?id=649218318903
2023年3月20日18点3分51秒	106-腰椎间盘突出专用贴膏腰椎突出压迫神经脚麻屁股痛大小腿麻木专用-tmall.com天猫https://item.taobao.com/item.htm?id=668684062302
2023年3月20日18点3分55秒	107-可孚筋骨贴腰腿颈椎远红外关节肩周类腰椎部位型疼痛膏贴辅助治疗-tmall.com天猫https://item.taobao.com/item.htm?id=558921056154
2023年3月20日18点3分58秒	108-验证码拦截https://item.taobao.com/item.htm?id=684272648809
2023年3月20日18点4分2秒	109-验证码拦截https://item.taobao.com/item.htm?id=674813926669
2023年3月20日18点4分5秒	110-验证码拦截https://item.taobao.com/item.htm?id=635457422047
2023年3月20日18点4分11秒	111-验证码拦截https://item.taobao.com/item.htm?id=551403432765
2023年3月20日18点4分15秒	112-验证码拦截https://item.taobao.com/item.htm?id=663639391105
2023年3月20日18点4分18秒	113-验证码拦截https://item.taobao.com/item.htm?id=632454544188
2023年3月20日18点4分25秒	114-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=668650098575
2023年3月20日18点4分31秒	115-验证码拦截https://item.taobao.com/item.htm?id=627347946686
2023年3月20日18点4分35秒	116-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=646136387284
2023年3月20日18点4分38秒	117-验证码拦截https://item.taobao.com/item.htm?id=675094382750
2023年3月20日18点4分42秒	118-验证码拦截https://item.taobao.com/item.htm?id=666267654171
2023年3月20日18点4分45秒	119-验证码拦截https://item.taobao.com/item.htm?id=647811399396
2023年3月20日18点4分51秒	120-验证码拦截https://item.taobao.com/item.htm?id=659325542981
2023年3月20日18点4分58秒	121-验证码拦截https://item.taobao.com/item.htm?id=634480715464
2023年3月20日18点5分1秒	122-验证码拦截https://item.taobao.com/item.htm?id=614564445229
2023年3月20日18点5分5秒	123-验证码拦截https://item.taobao.com/item.htm?id=593321587217
2023年3月20日18点5分8秒	124-验证码拦截https://item.taobao.com/item.htm?id=679204725810
2023年3月20日18点5分14秒	125-验证码拦截https://item.taobao.com/item.htm?id=613382934708
2023年3月20日18点5分21秒	126-验证码拦截https://item.taobao.com/item.htm?id=648458647217
2023年3月20日18点5分24秒	127-验证码拦截https://item.taobao.com/item.htm?id=638944541771
2023年3月20日18点5分28秒	128-验证码拦截https://item.taobao.com/item.htm?id=659396867742
2023年3月20日18点5分34秒	129-验证码拦截https://item.taobao.com/item.htm?id=596928579270
2023年3月20日18点5分40秒	130-验证码拦截https://item.taobao.com/item.htm?id=620043581981
2023年3月20日18点5分44秒	131-验证码拦截https://item.taobao.com/item.htm?id=610680120528
2023年3月20日18点5分47秒	132-验证码拦截https://item.taobao.com/item.htm?id=679699756753
2023年3月20日18点5分50秒	133-验证码拦截https://item.taobao.com/item.htm?id=677506702193
2023年3月20日18点5分54秒	134-验证码拦截https://item.taobao.com/item.htm?id=639071710952
2023年3月20日18点5分57秒	135-验证码拦截https://item.taobao.com/item.htm?id=671828190697
2023年3月20日18点6分1秒	136-验证码拦截https://item.taobao.com/item.htm?id=654510772439
2023年3月20日18点6分7秒	137-验证码拦截https://item.taobao.com/item.htm?id=671986575835
2023年3月20日18点6分10秒	138-验证码拦截https://item.taobao.com/item.htm?id=651045790011
2023年3月20日18点6分17秒	139-验证码拦截https://item.taobao.com/item.htm?id=630053447308
2023年3月20日18点6分21秒	140-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=663286443417
2023年3月20日18点6分24秒	141-验证码拦截https://item.taobao.com/item.htm?id=607896134976
2023年3月20日18点6分27秒	142-验证码拦截https://item.taobao.com/item.htm?id=654100604967
2023年3月20日18点6分31秒	143-验证码拦截https://item.taobao.com/item.htm?id=560605721876
2023年3月20日18点6分34秒	144-验证码拦截https://item.taobao.com/item.htm?id=660078864566
2023年3月20日18点6分37秒	145-验证码拦截https://item.taobao.com/item.htm?id=615550635390
2023年3月20日18点6分44秒	146-验证码拦截https://item.taobao.com/item.htm?id=570032124853
2023年3月20日18点6分47秒	147-验证码拦截https://item.taobao.com/item.htm?id=673591690448
2023年3月20日18点6分50秒	148-验证码拦截https://item.taobao.com/item.htm?id=613682896435
2023年3月20日18点6分57秒	149-验证码拦截https://item.taobao.com/item.htm?id=655711867446
2023年3月20日18点7分0秒	150-验证码拦截https://item.taobao.com/item.htm?id=652459808827
2023年3月20日18点7分4秒	151-验证码拦截https://item.taobao.com/item.htm?id=684852126510
2023年3月20日18点7分7秒	152-验证码拦截https://item.taobao.com/item.htm?id=678023800747
2023年3月20日18点7分10秒	153-验证码拦截https://item.taobao.com/item.htm?id=685413268331
2023年3月20日18点7分14秒	154-验证码拦截https://item.taobao.com/item.htm?id=682325482431
2023年3月20日18点7分17秒	155-验证码拦截https://item.taobao.com/item.htm?id=640903747921
2023年3月20日18点7分24秒	156-验证码拦截https://item.taobao.com/item.htm?id=675345413678
2023年3月20日18点7分27秒	157-验证码拦截https://item.taobao.com/item.htm?id=679581613998
2023年3月20日18点7分30秒	158-验证码拦截https://item.taobao.com/item.htm?id=611047176390
2023年3月20日18点7分34秒	159-验证码拦截https://item.taobao.com/item.htm?id=669729106926
2023年3月20日18点7分40秒	160-验证码拦截https://item.taobao.com/item.htm?id=576704053957
2023年3月20日18点7分46秒	161-验证码拦截https://item.taobao.com/item.htm?id=619926994419
2023年3月20日18点7分53秒	162-验证码拦截https://item.taobao.com/item.htm?id=679765389549
2023年3月20日18点7分59秒	163-验证码拦截https://item.taobao.com/item.htm?id=571707669865
2023年3月20日18点8分3秒	164-验证码拦截https://item.taobao.com/item.htm?id=669466001537
2023年3月20日18点8分9秒	165-验证码拦截https://item.taobao.com/item.htm?id=560535538956
2023年3月20日18点8分13秒	166-验证码拦截https://item.taobao.com/item.htm?id=677094603421
2023年3月20日18点8分16秒	167-验证码拦截https://item.taobao.com/item.htm?id=584434314004
2023年3月20日18点8分19秒	168-验证码拦截https://item.taobao.com/item.htm?id=638504222980
2023年3月20日18点8分23秒	169-妙艾堂颈椎贴膝盖贴发热穴位疼痛关节热敷贴艾草贴官方旗舰店正品-tmall.com天猫https://item.taobao.com/item.htm?id=601568670970
2023年3月20日18点8分26秒	170-验证码拦截https://item.taobao.com/item.htm?id=623102065317
2023年3月20日18点8分29秒	171-秦鲁磁疗贴颈椎病肩周炎腰椎腰肌劳损软组织损伤辅助治疗理疗贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=563612356387
2023年3月20日18点8分33秒	172-验证码拦截https://item.taobao.com/item.htm?id=683658961192
2023年3月20日18点8分36秒	173-验证码拦截https://item.taobao.com/item.htm?id=629861146919
2023年3月20日18点8分39秒	174-验证码拦截https://item.taobao.com/item.htm?id=617008789681
2023年3月20日18点8分43秒	175-验证码拦截https://item.taobao.com/item.htm?id=623111758676
2023年3月20日18点8分46秒	176-验证码拦截https://item.taobao.com/item.htm?id=669041982003
2023年3月20日18点8分50秒	177-日本膝盖疼痛专用膏药贴颈椎腰椎膝盖酸疼肿胀麻木抬不起腿冷敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=657004172188
2023年3月20日18点8分53秒	178-验证码拦截https://item.taobao.com/item.htm?id=626614481072
2023年3月20日18点8分56秒	179-验证码拦截https://item.taobao.com/item.htm?id=639034701781
2023年3月20日18点9分0秒	180-验证码拦截https://item.taobao.com/item.htm?id=682322424094
2023年3月20日18点9分3秒	181-验证码拦截https://item.taobao.com/item.htm?id=621234655379
2023年3月20日18点9分7秒	182-验证码拦截https://item.taobao.com/item.htm?id=625648683059
2023年3月20日18点9分13秒	183-验证码拦截https://item.taobao.com/item.htm?id=655913565880
2023年3月20日18点9分16秒	184-验证码拦截https://item.taobao.com/item.htm?id=609897446664
2023年3月20日18点9分23秒	185-验证码拦截https://item.taobao.com/item.htm?id=676708347262
2023年3月20日18点9分26秒	186-验证码拦截https://item.taobao.com/item.htm?id=625703387520
2023年3月20日18点9分33秒	187-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=544531453108
2023年3月20日18点9分37秒	188-验证码拦截https://item.taobao.com/item.htm?id=575975966941
2023年3月20日18点9分40秒	189-验证码拦截https://item.taobao.com/item.htm?id=567222619354
2023年3月20日18点9分43秒	190-验证码拦截https://item.taobao.com/item.htm?id=642652933959
2023年3月20日18点9分50秒	191-验证码拦截https://item.taobao.com/item.htm?id=629683879397
2023年3月20日18点9分53秒	192-验证码拦截https://item.taobao.com/item.htm?id=654307240102
2023年3月20日18点9分56秒	193-验证码拦截https://item.taobao.com/item.htm?id=634293235006
2023年3月20日18点9分59秒	194-验证码拦截https://item.taobao.com/item.htm?id=615357076459
2023年3月20日18点10分3秒	195-验证码拦截https://item.taobao.com/item.htm?id=674702408556
2023年3月20日18点10分9秒	196-验证码拦截https://item.taobao.com/item.htm?id=635761944153
2023年3月20日18点10分12秒	197-验证码拦截https://item.taobao.com/item.htm?id=675692379664
2023年3月20日18点10分18秒	198-验证码拦截https://item.taobao.com/item.htm?id=687569533717
2023年3月20日18点10分22秒	199-验证码拦截https://item.taobao.com/item.htm?id=594166224600
2023年3月20日18点10分28秒	200-验证码拦截https://item.taobao.com/item.htm?id=609836036006
2023年3月20日18点10分34秒	201-验证码拦截https://item.taobao.com/item.htm?id=665512499840
2023年3月20日18点10分40秒	202-验证码拦截https://item.taobao.com/item.htm?id=562607288119
2023年3月20日18点10分44秒	203-验证码拦截https://item.taobao.com/item.htm?id=687746097721
2023年3月20日18点10分50秒	204-验证码拦截https://item.taobao.com/item.htm?id=688246011543
2023年3月20日18点10分53秒	205-验证码拦截https://item.taobao.com/item.htm?id=677612892985
2023年3月20日18点10分56秒	206-验证码拦截https://item.taobao.com/item.htm?id=678633860168
2023年3月20日18点11分0秒	207-验证码拦截https://item.taobao.com/item.htm?id=647308060623
2023年3月20日18点11分3秒	208-验证码拦截https://item.taobao.com/item.htm?id=623969118558
2023年3月20日18点11分6秒	209-验证码拦截https://item.taobao.com/item.htm?id=676642028230
2023年3月20日18点11分9秒	210-验证码拦截https://item.taobao.com/item.htm?id=628753279784
2023年3月20日18点11分16秒	211-验证码拦截https://item.taobao.com/item.htm?id=673651701253
2023年3月20日18点11分22秒	212-验证码拦截https://item.taobao.com/item.htm?id=680865956425
2023年3月20日18点11分25秒	213-验证码拦截https://item.taobao.com/item.htm?id=679006740115
2023年3月20日18点11分28秒	214-验证码拦截https://item.taobao.com/item.htm?id=667503310318
2023年3月20日18点11分32秒	215-验证码拦截https://item.taobao.com/item.htm?id=666715669467
